ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
AMC,5,-558131886.8,0,532565227.8,-255644805.1,5,5,5,5,Strong Allocation
QS,5,-513733836.6,0,653276814.5,-378802004.4,5,5,5,5,Strong Allocation
NVAX,5,-686998093.3,0,609032678.2,-403672756.2,5,5,5,5,Strong Allocation
CLVT,5,-1148847201,0,1573015665,-695946804.2,5,5,5,5,Strong Allocation
ETM,5,-392230695.3,0,466350852.9,-781667441.9,5,5,5,5,Strong Allocation
FSR,5,-423429318,0,359416037.1,-898199718.6,5,5,5,5,Strong Allocation
PTON,5,-927083736.6,0,1202655418,-1096588825,5,5,5,5,Strong Allocation
PLUG,5,-645391033.8,0,448963660.5,-1235686486,5,5,5,5,Strong Allocation
NIO,5,-2484944567,0,1704229745,-1457234896,5,5,5,5,Strong Allocation
BA,5,-4626603152,0,4100787220,-1633374858,5,5,5,5,Strong Allocation
CYTK,5,-277323609.2,0,177039059.3,-413559040.6,5,4,5,4.7,Strong Allocation
GH,5,-374363160.5,0,218641711.1,-415759193.2,5,4,5,4.7,Strong Allocation
IBRX,5,-342110085.9,0,172032835.4,-433678450.6,5,4,5,4.7,Strong Allocation
KRTX,5,-197358377.2,0,170482245.8,-409071846.6,5,4,5,4.7,Strong Allocation
INSM,5,-444801121.8,0,187857758.2,-469262589.1,5,4,5,4.7,Strong Allocation
CSSE,5,-162669901.8,0,242356540,-562760947.1,5,4,5,4.7,Strong Allocation
AMWL,5,-291015557.9,0,223743184.1,-581161648,5,4,5,4.7,Strong Allocation
NKLA,5,-490051368.6,0,266718352.9,-593051187.3,5,4,5,4.7,Strong Allocation
BBIO,5,-477573542.9,0,149425859,-395504941.9,5,4,5,4.7,Strong Allocation
RVMD,5,-204725891.1,0,150683190.6,-387438892.3,5,4,5,4.7,Strong Allocation
NTLA,5,-286661063.6,0,174310545,-374392571.2,5,4,5,4.7,Strong Allocation
BYND,5,-191445892.8,0,161745680.6,-326884236.6,5,4,5,4.7,Strong Allocation
PTCT,5,-471077745,0,143282853.1,-355839490.1,5,4,5,4.7,Strong Allocation
RLAY,5,-228339799.8,0,154293816,-282281669.4,5,4,5,4.7,Strong Allocation
CERE,5,-255678686.5,0,123221523.4,-287691386,5,4,5,4.7,Strong Allocation
ARVN,5,-206205473.7,0,120489469.1,-295102705.2,5,4,5,4.7,Strong Allocation
RIDE,5,-230512520.1,0,159050010.5,-321675186.6,5,4,5,4.7,Strong Allocation
OKTA,5,-509974708.3,0,325497046.1,-140158928.4,5,4,5,4.7,Strong Allocation
GDS,5,-419180175.5,0,227266696.2,-153618641.8,5,4,5,4.7,Strong Allocation
ZS,5,-195749790.6,0,134604172.9,-173162426.8,5,4,5,4.7,Strong Allocation
RARE,5,-468423770.7,0,198064049.2,-184187130.6,5,4,5,4.7,Strong Allocation
DM,5,-287341135.7,0,269529630.9,-210762026.7,5,4,5,4.7,Strong Allocation
KOD,5,-206142963.7,0,113929235.3,-216073443.1,5,4,5,4.7,Strong Allocation
BILL,5,-134554472,0,130472236.2,-218541692.7,5,4,5,4.7,Strong Allocation
APLS,5,-515959037.4,0,182836209.8,-246222573.9,5,4,5,4.7,Strong Allocation
GOEV,5,-208644486.8,0,187831568.8,-120166995.2,5,4,5,4.7,Strong Allocation
CDLX,5,-165012641.4,0,181384619.3,-122700389.2,5,4,5,4.7,Strong Allocation
ACCD,5,-158391916.9,0,170986830.1,-51033637.5,5,4,4,4.5,Strong Allocation
BEAM,5,-217593539.2,0,121649135.8,-58909459.6,5,4,4,4.5,Strong Allocation
SNAP,5,-1036173042,0,372288594.3,-222811869,4,5,5,4.5,Strong Allocation
BPMC,5,-343351126.2,0.2,387118277.2,-170194962.7,4,5,5,4.5,Strong Allocation
CRSP,5,-154620702.3,0.4,389934026.1,-159133230.3,4,5,5,4.5,Strong Allocation
TDOC,5,-2935262280,0,5875097576,-123347593.8,4,5,5,4.5,Strong Allocation
RCL,5,-1952082794,0.4,3695998989,-139062011,4,5,5,4.5,Strong Allocation
SBGI,5,-98315633.62,0.4,1807975644,-339517911.4,4,5,5,4.5,Strong Allocation
IVR,5,-380571457.1,0.2,806354122.9,-371322414.9,4,5,5,4.5,Strong Allocation
UIS,5,-47112545.28,0.2,492181518.7,-407861565.5,4,5,5,4.5,Strong Allocation
CNNE,5,170246584.6,0.4,933648553.9,-399422082.5,4,5,5,4.5,Strong Allocation
GT,5,-264558550,0.4,774469104.1,-416506408.6,4,5,5,4.5,Strong Allocation
TWLO,5,-796873393.7,0,382108447.9,-763164400.8,4,5,5,4.5,Strong Allocation
JBLU,5,-343093841,0.2,703510087.6,-857686159.5,4,5,5,4.5,Strong Allocation
SAVE,5,-320422202.2,0.2,376102412.4,-812657260.5,4,5,5,4.5,Strong Allocation
NCLH,5,-1920606470,0.4,2401113086,-754658384.2,4,5,5,4.5,Strong Allocation
SABR,5,-601473653.6,0.2,548359115.1,-678654740.3,4,5,5,4.5,Strong Allocation
ROKU,5,-209656530.2,0.2,387146354,-646239773.9,4,5,5,4.5,Strong Allocation
RUN,5,-333374555,0.4,727306157.2,-1640133686,4,5,5,4.5,Strong Allocation
ENDP,5,-1257502870,0.2,1383245232,-1987481015,4,5,5,4.5,Strong Allocation
IHRT,5,-687703007.4,0.2,860872417.8,-1237790709,4,5,5,4.5,Strong Allocation
SPR,5,-410095984.9,0.2,535812538.9,-1122796210,4,5,5,4.5,Strong Allocation
ELAN,5,-460372121.9,0.2,507940003.9,-1298740312,4,5,5,4.5,Strong Allocation
TLRY,5,-483006303.1,0,563775175.2,-1407843006,4,5,5,4.5,Strong Allocation
CCL,5,-4423074726,0.2,5713692638,-3114220645,4,5,5,4.5,Strong Allocation
MRNA,5,2989239549,0.4,7176481491,-4163321072,4,5,5,4.5,Strong Allocation
LUMN,5,-3314354242,0.2,4771317597,-5082331154,4,5,5,4.5,Strong Allocation
SATS,5,-310964248.3,0.4,779863611.9,-1629796715,4,5,5,4.5,Strong Allocation
TEO,5,-3.87176E+11,0.2,6.2431E+11,-5.34916E+11,4,5,5,4.5,Strong Allocation
MDGL,5,-237832558.6,0,105566395.7,-275028435.4,5,3,5,4.4,Strong Allocation
ASAN,5,-254189613.5,0,100535259.3,-131170578,5,3,5,4.4,Strong Allocation
ADCT,5,-197961387.8,0,62987089.08,-131228822.9,5,3,5,4.4,Strong Allocation
AEVA,5,-87531506.62,0,62873141.77,-133607376.8,5,3,5,4.4,Strong Allocation
CBB,5,-93027222.32,0,64269743.85,-123745258.4,5,3,5,4.4,Strong Allocation
ESTC,5,-163677147.7,0,50863220.18,-124098120.5,5,3,5,4.4,Strong Allocation
ATEC,5,-124240825,0,54082769.73,-124440764.4,5,3,5,4.4,Strong Allocation
NRIX,5,-101548816.1,0,64956723.07,-124683008.2,5,3,5,4.4,Strong Allocation
IDEX,5,-194353549.7,0,89405554.66,-125752745.9,5,3,5,4.4,Strong Allocation
BCRX,5,-193977008.6,0,57088451.78,-123086782.4,5,3,5,4.4,Strong Allocation
PCOK,5,-52064976.1,0,54428871.25,-128686778.6,5,3,5,4.4,Strong Allocation
CDNA,5,-66008477.68,0,68395286.22,-158760980.1,5,3,5,4.4,Strong Allocation
CRNX,5,-122336105.2,0,66503680.86,-158810848.1,5,3,5,4.4,Strong Allocation
RVNC,5,-275626361.3,0,79041205.26,-163084733.1,5,3,5,4.4,Strong Allocation
SANA,5,-270069383.2,0,81208895.71,-155299939.6,5,3,5,4.4,Strong Allocation
SGMO,5,-168331150.3,0,61258758.52,-155428005,5,3,5,4.4,Strong Allocation
BCYC,5,-90141848.38,0,62728839.37,-155844341.3,5,3,5,4.4,Strong Allocation
COGT,5,-102007312.5,0,60443000.23,-150922175.9,5,3,5,4.4,Strong Allocation
ALXO,5,-88688279.52,0,58067709.42,-141794566.6,5,3,5,4.4,Strong Allocation
KROS,5,-73975753.66,0,55008822.11,-138795910.9,5,3,5,4.4,Strong Allocation
BTAI,5,-115214860.1,0,60922652.8,-142173678.7,5,3,5,4.4,Strong Allocation
AGEN,5,-155652455,0,91240588.79,-143644334.3,5,3,5,4.4,Strong Allocation
MRSN,5,-128555064.6,0,70312994.61,-143920469.6,5,3,5,4.4,Strong Allocation
RCKT,5,-171167969.2,0,70344725.12,-176988835.3,5,3,5,4.4,Strong Allocation
AXSM,5,-145879459.2,0,71793736.37,-180222268.4,5,3,5,4.4,Strong Allocation
ALVR,5,-125509703.4,0,75216795.3,-173323622,5,3,5,4.4,Strong Allocation
ADPT,5,-170106251.8,0,64254049.6,-166175165.6,5,3,5,4.4,Strong Allocation
PLRX,5,-86911068.38,0,65987177.18,-166272911.6,5,3,5,4.4,Strong Allocation
NEXT,5,-71333156.68,0,87053001.42,-186542765.7,5,3,5,4.4,Strong Allocation
HYZN,5,-49136928.04,0,78194386.06,-187292244.7,5,3,5,4.4,Strong Allocation
BNGO,5,-102050942.4,0,80140676.37,-193860617,5,3,5,4.4,Strong Allocation
RNA,5,-114557375.2,0,82504045.51,-195919272.1,5,3,5,4.4,Strong Allocation
BLNK,5,-75539180.1,0,80478878.87,-198121512.4,5,3,5,4.4,Strong Allocation
PGRE,5,-75440589.44,0,101350260.2,-219525135.8,5,3,5,4.4,Strong Allocation
DYN,5,-124006770.5,0,85524746.81,-210799783.7,5,3,5,4.4,Strong Allocation
FGEN,5,-227736660.1,0,97578582.7,-207819494.5,5,3,5,4.4,Strong Allocation
INBX,5,-117550497.5,0,74133609.7,-183445675.4,5,3,5,4.4,Strong Allocation
IOVA,5,-333135652.8,0,102725395.5,-252244979.2,5,3,5,4.4,Strong Allocation
ZNTL,5,-172074823.4,0,100674877.1,-252487442.3,5,3,5,4.4,Strong Allocation
ARQT,5,-192863780.5,0,109980476.1,-232421368.7,5,3,5,4.4,Strong Allocation
AMBA,5,-71823102.92,0,53201567.15,-120230498.2,5,3,5,4.4,Strong Allocation
